Programa,Estudiantes,Casos_riesgo,Probabilidad,Porcentaje
Biología,1,1,1.0,100.0
Medicina Veterinaria y Zootecnia,1,1,1.0,100.0
Ingeniería de Sistemas,43,32,0.7441860465116279,74.42
Diseño de Medios Interactivos,3,2,0.6666666666666666,66.67
Ingeniería Bioquímica,9,4,0.4444444444444444,44.44
Ingeniería en Energía Inteligente,3,1,0.3333333333333333,33.33
Química Farmacéutica,12,4,0.3333333333333333,33.33
Ingeniería Industrial,14,4,0.2857142857142857,28.57
Diseño Industrial,14,4,0.2857142857142857,28.57
